Index,Tag,Station,Type,SW Ver.,Time Stamp,Log Interval,Latitude,Longitude,Altitude,DOP,Speed,Battery,Temperature,Light Intensity,Movement,Accelerometer,Alarm,RSSI,Coverage,Retries,Ack Source
1,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-23 12:38:03 UTC,Every 1 hour,-25.730600°,28.219247°,(-),10 meters,0 km/h,3.68 Volt,31°C,(-),N,"[1715,-237,15621]",N,4,Y,0,Reset
2,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-25 7:03:57 UTC,Every 1 hour,-23.873852°,28.318083°,(-),10 meters,0 km/h,3.69 Volt,38°C,(-),Y,"[320,-1861,15578]",N,4,Y,0,Reset
3,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-25 8:04:03 UTC,Every 1 hour,-23.873835°,28.318057°,(-),10 meters,0 km/h,3.69 Volt,43°C,(-),Y,"[791,-2583,15446]",N,0,Y,0,
4,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-25 9:04:33 UTC,Every 1 hour,-23.873712°,28.318228°,(-),10 meters,0 km/h,3.69 Volt,44°C,(-),Y,"[930,-1541,15662]",N,0,Y,0,
5,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-25 10:04:15 UTC,Every 1 hour,-23.873720°,28.318258°,(-),10 meters,0 km/h,3.69 Volt,48°C,(-),Y,"[1358,-2340,15447]",N,0,Y,0,
6,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-25 11:04:34 UTC,Every 1 hour,-23.873740°,28.318322°,(-),10 meters,0 km/h,3.69 Volt,47°C,(-),Y,"[1325,-479,15531]",N,0,Y,0,
7,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-25 12:05:32 UTC,Every 1 hour,-23.872817°,28.314062°,(-),10 meters,0 km/h,3.69 Volt,47°C,(-),Y,"[1525,-1824,15552]",N,0,Y,0,
8,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-25 13:05:16 UTC,Every 1 hour,-23.872747°,28.314002°,(-),10 meters,0 km/h,3.69 Volt,45°C,(-),Y,"[1203,-3144,15206]",N,0,Y,0,
9,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-25 14:06:02 UTC,Every 1 hour,-23.872625°,28.313428°,(-),10 meters,0 km/h,3.69 Volt,44°C,(-),Y,"[1654,-1574,15504]",N,0,Y,0,
10,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-25 15:06:26 UTC,Every 1 hour,-23.869022°,28.307200°,(-),10 meters,1 km/h,3.69 Volt,43°C,(-),Y,"[947,-412,15438]",N,0,Y,0,
11,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-25 16:06:48 UTC,Every 1 hour,-23.860847°,28.294348°,(-),10 meters,0 km/h,3.69 Volt,40°C,(-),Y,"[1056,-1763,15525]",N,0,Y,1,
12,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-25 17:06:39 UTC,Every 1 hour,-23.856483°,28.292955°,(-),10 meters,2 km/h,3.69 Volt,37°C,(-),Y,"[802,1941,15735]",N,0,Y,0,
13,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-25 18:07:32 UTC,Every 1 hour,-23.852550°,28.297203°,(-),10 meters,0 km/h,3.69 Volt,34°C,(-),Y,"[2679,171,14840]",N,0,Y,0,
14,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-25 19:08:34 UTC,Every 1 hour,-23.852208°,28.303293°,(-),10 meters,0 km/h,3.69 Volt,31°C,(-),Y,"[2342,-288,14802]",N,0,Y,0,
15,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-25 20:07:43 UTC,Every 1 hour,-23.853062°,28.309495°,(-),10 meters,0 km/h,3.69 Volt,29°C,(-),Y,"[2335,-4048,14647]",N,0,Y,0,
16,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-25 21:08:27 UTC,Every 1 hour,-23.854785°,28.309323°,(-),10 meters,0 km/h,3.69 Volt,28°C,(-),Y,"[1269,-1875,15052]",N,0,Y,0,
17,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-25 22:08:24 UTC,Every 1 hour,-23.857422°,28.311107°,(-),10 meters,0 km/h,3.69 Volt,28°C,(-),Y,"[1688,-3137,15207]",N,0,Y,0,
18,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-25 23:09:02 UTC,Every 1 hour,-23.860112°,28.316405°,(-),<10 meters,2 km/h,3.69 Volt,27°C,(-),Y,"[2021,-3541,17422]",N,0,Y,0,
19,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-26 0:08:55 UTC,Every 1 hour,-23.850547°,28.328038°,(-),10 meters,0 km/h,3.69 Volt,26°C,(-),Y,"[572,-2644,15380]",N,0,Y,1,
20,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-26 1:09:32 UTC,Every 1 hour,-23.856867°,28.338010°,(-),10 meters,0 km/h,3.69 Volt,25°C,(-),Y,"[-181,-1123,15453]",N,0,Y,1,
21,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-26 2:09:32 UTC,Every 1 hour,-23.860677°,28.344735°,(-),10 meters,1 km/h,3.69 Volt,25°C,(-),Y,"[-874,223,15449]",N,0,N,2,
22,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-26 3:10:50 UTC,Every 1 hour,-23.861275°,28.346085°,(-),10 meters,0 km/h,3.69 Volt,26°C,(-),Y,"[1951,-3116,15412]",N,0,Y,0,
23,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-26 4:10:32 UTC,Every 1 hour,-23.862652°,28.347063°,(-),10 meters,0 km/h,3.69 Volt,27°C,(-),Y,"[1614,619,15727]",N,0,Y,0,
24,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-26 5:11:34 UTC,Every 1 hour,-23.863332°,28.348712°,(-),10 meters,0 km/h,3.69 Volt,28°C,(-),Y,"[-648,553,15311]",N,0,N,2,
25,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-26 6:11:02 UTC,Every 1 hour,-23.863032°,28.349425°,(-),10 meters,0 km/h,3.69 Volt,31°C,(-),Y,"[2312,3642,14333]",N,0,Y,0,
26,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-26 7:11:50 UTC,Every 1 hour,-23.862785°,28.349870°,(-),10 meters,0 km/h,3.69 Volt,33°C,(-),Y,"[323,-531,17089]",N,0,N,6,
27,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-26 8:11:19 UTC,Every 1 hour,-23.862408°,28.351287°,(-),10 meters,0 km/h,3.69 Volt,38°C,(-),Y,"[1610,-394,15874]",N,0,Y,0,
28,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-26 9:12:02 UTC,Every 1 hour,-23.862235°,28.351110°,(-),<10 meters,0 km/h,3.69 Volt,43°C,(-),Y,"[1372,-430,15429]",N,0,N,2,
29,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-26 10:11:50 UTC,Every 1 hour,-23.861377°,28.350792°,(-),10 meters,0 km/h,3.69 Volt,46°C,(-),Y,"[1520,-2426,15122]",N,0,Y,0,
30,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-26 11:12:11 UTC,Every 1 hour,-23.861430°,28.351960°,(-),10 meters,2 km/h,3.69 Volt,46°C,(-),Y,"[2053,-507,15412]",N,0,Y,0,
31,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-26 12:13:49 UTC,Every 1 hour,0.000000°,0.000000°,(-),<10 meters,0 km/h,3.69 Volt,44°C,(-),Y,"[947,-1501,15031]",N,0,N,2,
32,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-26 13:14:02 UTC,Every 1 hour,-23.860592°,28.356022°,(-),10 meters,0 km/h,3.69 Volt,40°C,(-),Y,"[1579,-2693,15275]",N,0,Y,0,
33,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-26 14:13:10 UTC,Every 1 hour,-23.860782°,28.360698°,(-),10 meters,3 km/h,3.69 Volt,40°C,(-),Y,"[3695,-1407,14512]",N,0,N,6,
34,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-26 15:13:59 UTC,Every 1 hour,-23.860913°,28.362282°,(-),10 meters,0 km/h,3.69 Volt,41°C,(-),Y,"[982,-2755,15277]",N,0,Y,0,
35,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-26 16:14:20 UTC,Every 1 hour,-23.863515°,28.363405°,(-),<10 meters,1 km/h,3.69 Volt,39°C,(-),Y,"[2820,-3255,15175]",N,0,Y,0,
36,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-26 17:14:09 UTC,Every 1 hour,-23.865858°,28.363315°,(-),<10 meters,1 km/h,3.69 Volt,36°C,(-),Y,"[2075,-1358,14965]",N,0,Y,0,
37,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-26 18:15:00 UTC,Every 1 hour,-23.874250°,28.356290°,(-),10 meters,3 km/h,3.69 Volt,34°C,(-),Y,"[1160,1483,15274]",N,0,Y,1,
38,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-26 19:14:49 UTC,Every 1 hour,-23.877605°,28.350952°,(-),10 meters,0 km/h,3.69 Volt,32°C,(-),Y,"[1741,-959,15264]",N,0,Y,0,
39,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-26 20:15:12 UTC,Every 1 hour,-23.872085°,28.346920°,(-),10 meters,0 km/h,3.69 Volt,31°C,(-),Y,"[-964,3405,15416]",N,0,Y,0,
40,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-26 21:16:00 UTC,Every 1 hour,-23.866333°,28.344720°,(-),10 meters,3 km/h,3.69 Volt,30°C,(-),Y,"[1933,-3795,16574]",N,0,Y,0,
41,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-26 22:15:51 UTC,Every 1 hour,-23.862317°,28.345495°,(-),10 meters,0 km/h,3.69 Volt,30°C,(-),Y,"[2401,-2220,14936]",N,0,N,2,
42,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-26 23:16:17 UTC,Every 1 hour,-23.862072°,28.346672°,(-),10 meters,0 km/h,3.69 Volt,30°C,(-),Y,"[-11064,512,10937]",N,0,N,2,
43,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-27 0:17:26 UTC,Every 1 hour,-23.862158°,28.346490°,(-),10 meters,0 km/h,3.69 Volt,30°C,(-),Y,"[2498,-4155,14860]",N,0,Y,0,
44,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-27 1:17:20 UTC,Every 1 hour,-23.862083°,28.346520°,(-),10 meters,0 km/h,3.69 Volt,30°C,(-),Y,"[12555,42,9660]",N,0,Y,1,
45,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-27 2:17:11 UTC,Every 1 hour,-23.862137°,28.346500°,(-),10 meters,0 km/h,3.69 Volt,29°C,(-),Y,"[12863,405,9370]",N,0,Y,0,
46,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-27 3:18:10 UTC,Every 1 hour,-23.861628°,28.346660°,(-),10 meters,0 km/h,3.69 Volt,28°C,(-),Y,"[-2143,-4311,14965]",N,0,N,2,
47,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-27 4:17:47 UTC,Every 1 hour,-23.861893°,28.347345°,(-),10 meters,1 km/h,3.69 Volt,27°C,(-),Y,"[1775,-1958,14566]",N,0,Y,0,
48,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-27 5:18:40 UTC,Every 1 hour,-23.861177°,28.346697°,(-),10 meters,0 km/h,3.69 Volt,28°C,(-),Y,"[3254,1397,15440]",N,0,N,2,
49,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-27 6:18:56 UTC,Every 1 hour,-23.860957°,28.346732°,(-),10 meters,0 km/h,3.69 Volt,29°C,(-),Y,"[2529,-2058,15053]",N,0,Y,1,
50,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-27 7:19:02 UTC,Every 1 hour,-23.860160°,28.346250°,(-),<10 meters,0 km/h,3.69 Volt,34°C,(-),Y,"[2164,-2342,15472]",N,0,N,2,
51,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-27 8:19:10 UTC,Every 1 hour,-23.859222°,28.345355°,(-),10 meters,0 km/h,3.69 Volt,39°C,(-),Y,"[810,-168,15498]",N,0,Y,0,
52,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-27 9:19:32 UTC,Every 1 hour,-23.859613°,28.345107°,(-),10 meters,0 km/h,3.69 Volt,40°C,(-),Y,"[1389,-1118,15081]",N,0,N,2,
53,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-27 10:20:02 UTC,Every 1 hour,-23.860163°,28.344353°,(-),10 meters,0 km/h,3.69 Volt,42°C,(-),Y,"[-204,-3897,15025]",N,0,Y,0,
54,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-27 11:20:10 UTC,Every 1 hour,-23.853072°,28.333542°,(-),10 meters,1 km/h,3.69 Volt,46°C,(-),Y,"[1729,2276,15174]",N,0,Y,0,
55,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-27 12:20:32 UTC,Every 1 hour,-23.852580°,28.334307°,(-),10 meters,0 km/h,3.69 Volt,42°C,(-),Y,"[2539,-1715,15283]",N,0,Y,0,
56,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-27 13:20:40 UTC,Every 1 hour,-23.853752°,28.333127°,(-),<10 meters,0 km/h,3.69 Volt,47°C,(-),Y,"[1455,-2460,14993]",N,0,N,2,
57,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-27 14:21:26 UTC,Every 1 hour,-23.854243°,28.329242°,(-),<10 meters,0 km/h,3.69 Volt,42°C,(-),Y,"[147,-2031,13945]",N,0,Y,1,
58,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-27 15:21:08 UTC,Every 1 hour,-23.853640°,28.329993°,(-),10 meters,0 km/h,3.69 Volt,41°C,(-),Y,"[2390,621,15279]",N,0,N,2,
59,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-27 16:21:59 UTC,Every 1 hour,-23.851828°,28.332418°,(-),10 meters,0 km/h,3.69 Volt,38°C,(-),Y,"[3611,1910,14394]",N,0,Y,0,
60,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-27 17:22:20 UTC,Every 1 hour,-23.847947°,28.331743°,(-),10 meters,0 km/h,3.69 Volt,36°C,(-),Y,"[1546,1400,15206]",N,0,N,2,
61,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-27 18:22:10 UTC,Every 1 hour,-23.846762°,28.333403°,(-),10 meters,0 km/h,3.69 Volt,35°C,(-),Y,"[1342,-2342,15117]",N,0,Y,0,
62,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-27 19:22:59 UTC,Every 1 hour,-23.847155°,28.334827°,(-),<10 meters,2 km/h,3.69 Volt,34°C,(-),Y,"[2640,2393,15618]",N,0,Y,0,
63,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-27 20:23:10 UTC,Every 1 hour,-23.845848°,28.343085°,(-),10 meters,0 km/h,3.69 Volt,32°C,(-),Y,"[2124,-697,15237]",N,0,N,2,
64,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-27 21:23:14 UTC,Every 1 hour,-23.847830°,28.346990°,(-),<10 meters,2 km/h,3.69 Volt,31°C,(-),Y,"[2469,-3246,15809]",N,0,Y,0,
65,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-27 22:24:02 UTC,Every 1 hour,-23.848992°,28.350293°,(-),10 meters,0 km/h,3.69 Volt,29°C,(-),Y,"[3400,329,14751]",N,0,Y,0,
66,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-27 23:23:51 UTC,Every 1 hour,-23.848597°,28.354292°,(-),10 meters,0 km/h,3.69 Volt,29°C,(-),Y,"[1030,-1285,15283]",N,0,N,2,
67,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-28 0:24:32 UTC,Every 1 hour,-23.849168°,28.363382°,(-),<10 meters,0 km/h,3.69 Volt,28°C,(-),Y,"[1364,202,15449]",N,0,Y,0,
68,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-28 1:24:28 UTC,Every 1 hour,-23.848732°,28.371327°,(-),10 meters,0 km/h,3.69 Volt,28°C,(-),Y,"[1873,-327,15481]",N,0,Y,0,
69,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-28 2:25:10 UTC,Every 1 hour,-23.844843°,28.385048°,(-),<10 meters,2 km/h,3.69 Volt,28°C,(-),Y,"[1027,531,14657]",N,0,Y,1,
70,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-28 3:25:10 UTC,Every 1 hour,-23.843310°,28.409758°,(-),10 meters,3 km/h,3.69 Volt,27°C,(-),Y,"[1014,-400,14709]",N,0,Y,0,
71,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-28 4:25:55 UTC,Every 1 hour,-23.844582°,28.411020°,(-),<10 meters,0 km/h,3.69 Volt,29°C,(-),Y,"[1767,-412,15457]",N,0,Y,0,
72,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-28 5:25:42 UTC,Every 1 hour,-23.844447°,28.413163°,(-),10 meters,0 km/h,3.69 Volt,34°C,(-),N,"[1738,-560,15312]",N,0,N,2,
73,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-28 6:26:30 UTC,Every 1 hour,-23.844387°,28.413508°,(-),10 meters,0 km/h,3.69 Volt,38°C,(-),Y,"[1659,-868,15393]",N,0,Y,0,
74,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-28 7:26:48 UTC,Every 1 hour,-23.844383°,28.413452°,(-),10 meters,0 km/h,3.69 Volt,38°C,(-),Y,"[656,-1344,15286]",N,0,Y,0,
75,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-28 8:26:37 UTC,Every 1 hour,-23.844252°,28.413522°,(-),10 meters,0 km/h,3.69 Volt,39°C,(-),Y,"[1137,-606,14933]",N,0,N,2,
76,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-28 9:27:26 UTC,Every 1 hour,-23.844313°,28.413560°,(-),10 meters,0 km/h,3.69 Volt,42°C,(-),Y,"[-1054,-2648,15102]",N,0,Y,0,
77,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-28 10:27:14 UTC,Every 1 hour,-23.844347°,28.413493°,(-),10 meters,0 km/h,3.69 Volt,44°C,(-),Y,"[1084,-759,15390]",N,0,Y,0,
78,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-28 11:28:06 UTC,Every 1 hour,-23.844370°,28.413588°,(-),10 meters,0 km/h,3.69 Volt,43°C,(-),Y,"[1973,-1451,15144]",N,0,N,2,
79,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-28 12:28:10 UTC,Every 1 hour,-23.844570°,28.413357°,(-),<10 meters,0 km/h,3.69 Volt,46°C,(-),Y,"[1712,-2385,15064]",N,0,Y,0,
80,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-28 13:28:22 UTC,Every 1 hour,-23.845093°,28.413090°,(-),10 meters,0 km/h,3.69 Volt,46°C,(-),Y,"[2829,6723,13857]",N,0,Y,0,
81,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-28 14:29:02 UTC,Every 1 hour,-23.846117°,28.412918°,(-),<10 meters,0 km/h,3.69 Volt,45°C,(-),Y,"[1598,-2293,14960]",N,0,Y,1,
82,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-28 15:28:50 UTC,Every 1 hour,-23.846945°,28.411980°,(-),<10 meters,0 km/h,3.69 Volt,42°C,(-),Y,"[800,-1526,14783]",N,0,Y,0,
83,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-28 16:29:32 UTC,Every 1 hour,-23.849067°,28.406342°,(-),<10 meters,0 km/h,3.69 Volt,39°C,(-),Y,"[1237,53,15228]",N,0,N,2,
84,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-28 17:29:32 UTC,Every 1 hour,-23.850242°,28.404408°,(-),10 meters,0 km/h,3.69 Volt,37°C,(-),Y,"[1456,-1062,15931]",N,0,Y,0,
85,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-28 18:30:23 UTC,Every 1 hour,-23.855550°,28.391650°,(-),10 meters,3 km/h,3.69 Volt,34°C,(-),Y,"[2196,25,15040]",N,0,N,2,
86,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-28 19:30:11 UTC,Every 1 hour,-23.859682°,28.376612°,(-),10 meters,2 km/h,3.69 Volt,34°C,(-),Y,"[3168,-555,14756]",N,0,Y,0,
87,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-28 20:30:32 UTC,Every 1 hour,-23.856862°,28.366300°,(-),10 meters,2 km/h,3.69 Volt,33°C,(-),Y,"[2059,4189,14494]",N,0,Y,0,
88,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-28 21:31:26 UTC,Every 1 hour,-23.860420°,28.355190°,(-),<10 meters,0 km/h,3.69 Volt,33°C,(-),Y,"[720,1108,15192]",N,0,Y,0,
89,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-28 22:31:10 UTC,Every 1 hour,-23.861703°,28.353037°,(-),10 meters,0 km/h,3.69 Volt,33°C,(-),Y,"[1585,-2419,15082]",N,0,Y,0,
90,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-28 23:32:26 UTC,Every 1 hour,-23.863203°,28.352030°,(-),10 meters,0 km/h,3.69 Volt,32°C,(-),Y,"[2141,-3697,14806]",N,0,N,2,
91,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-29 0:32:42 UTC,Every 1 hour,-23.863602°,28.350478°,(-),10 meters,0 km/h,3.69 Volt,32°C,(-),Y,"[1441,-2461,15311]",N,0,Y,0,
92,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-29 1:32:32 UTC,Every 1 hour,-23.863242°,28.349632°,(-),10 meters,0 km/h,3.69 Volt,32°C,(-),Y,"[14760,-594,5588]",N,0,N,2,
93,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-29 2:33:04 UTC,Every 1 hour,-23.863242°,28.349603°,(-),10 meters,0 km/h,3.69 Volt,32°C,(-),Y,"[804,-2731,15174]",N,0,Y,0,
94,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-29 3:33:10 UTC,Every 1 hour,-23.862432°,28.348122°,(-),10 meters,0 km/h,3.69 Volt,31°C,(-),Y,"[2700,-2305,14722]",N,0,Y,0,
95,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-29 4:33:40 UTC,Every 1 hour,-23.862342°,28.347613°,(-),10 meters,1 km/h,3.69 Volt,31°C,(-),Y,"[368,-620,15340]",N,0,Y,0,
96,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-29 5:34:02 UTC,Every 1 hour,-23.862660°,28.348037°,(-),10 meters,0 km/h,3.69 Volt,32°C,(-),Y,"[-1039,-3519,15555]",N,0,Y,0,
97,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-29 6:35:02 UTC,Every 1 hour,-23.862573°,28.346585°,(-),<10 meters,0 km/h,3.69 Volt,33°C,(-),Y,"[-17,1587,15523]",N,0,Y,0,
98,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-29 7:34:03 UTC,Every 1 hour,-23.862582°,28.346600°,(-),10 meters,0 km/h,3.69 Volt,34°C,(-),Y,"[2421,-487,15239]",N,0,N,2,
99,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-29 8:35:57 UTC,Every 1 hour,-23.862092°,28.346380°,(-),10 meters,0 km/h,3.69 Volt,36°C,(-),Y,"[2599,-791,15503]",N,0,N,3,
100,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-29 9:34:43 UTC,Every 1 hour,-23.862078°,28.346367°,(-),10 meters,0 km/h,3.69 Volt,39°C,(-),Y,"[1265,-2017,14934]",N,0,N,3,
101,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-29 10:35:28 UTC,Every 1 hour,-23.861963°,28.346473°,(-),10 meters,0 km/h,3.69 Volt,38°C,(-),Y,"[960,-2190,15234]",N,0,Y,0,
102,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-29 11:35:40 UTC,Every 1 hour,-23.859637°,28.342715°,(-),10 meters,0 km/h,3.69 Volt,43°C,(-),Y,"[2182,-1612,15263]",N,0,Y,0,
103,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-29 12:35:32 UTC,Every 1 hour,-23.853770°,28.332947°,(-),10 meters,0 km/h,3.69 Volt,44°C,(-),Y,"[1470,1981,15142]",N,0,Y,1,
104,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-29 13:36:26 UTC,Every 1 hour,-23.854160°,28.331132°,(-),<10 meters,0 km/h,3.69 Volt,41°C,(-),Y,"[2449,-1934,15270]",N,0,Y,0,
105,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2023-10-29 14:36:40 UTC,Every 1 hour,-23.854030°,28.330232°,(-),10 meters,0 km/h,3.69 Volt,36°C,(-),Y,"[4284,3934,14399]",N,0,Y,1,
